AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.4,0.2,3.4,0.7,0.1,1.1,,,
Cash_from_Operations,-146.0,-122.0,-122.8,-62.1,-29.5,-23.2,-7.0,-7.5,-10.6
Diluted_EPS,-1.403,-3.037,-3.864,-2.389,-2.833,-1.132,-0.467,-0.253,-0.475
Goodwill_Intangibles,4.7,,,,,,,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0
Net_Income,-69.6,-134.0,-140.7,-74.1,-37.6,-29.1,-12.0,-6.5,-12.2
Revenue,3.2,,,,,,,0.0,0.0
Shares_Diluted,49.6003,44.1272,36.4225,31.004,13.268,25.6907,25.6907,25.6907,25.6907
Total_Assets,329.5,187.1,308.5,260.2,151.7,12.3,37.3,0.2,0.5
Total_Liabilities,45.4,20.5,27.5,14.0,6.9,5.0,5.3,0.6,1.9
