AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,5.6,6.5,3.6,2.3,1.3
Cash_from_Operations,423.1,18.4,599.6,159.2,67.6
Diluted_EPS,-0.006,-0.064,0.016,0.024,0.047
Goodwill_Intangibles,249.2,86.6,45.2,15.9,5.3
LT_Debt,36.8,32.6,27.9,20.2,6.4
Net_Income,-2.2,-14.6,3.6,5.6,10.8
Revenue,563.8,288.7,189.6,156.0,123.5
Shares_Diluted,401.8116,228.7997,228.7997,228.7997,228.7997
Total_Assets,9321.9,7367.4,4007.2,2027.0,1132.7
Total_Liabilities,7915.4,6833.1,3348.3,1593.0,945.3
