AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,9.1,7.7,9.0,17.1,11.1,11.5,10.4,8.2
Cash_from_Operations,287.9,105.5,0.8,-19.7,191.7,-49.4,164.6,1.6
Diluted_EPS,1.046,-0.734,-1.581,0.057,0.045,0.397,0.211,0.659
Goodwill_Intangibles,2960.0,2743.0,2616.5,3002.1,2933.5,2818.4,2825.2,2610.7
LT_Debt,1293.0,1026.8,1138.6,1039.0,1027.8,1113.7,965.7,960.3
Net_Income,168.2,-117.8,-253.1,9.1,7.1,63.5,33.8,105.5
Revenue,1378.7,706.9,607.4,1558.6,1426.1,1575.2,1366.3,1187.1
Shares_Diluted,160.795,160.5,160.022,160.022,158.848,160.0223,160.0223,160.0223
Total_Assets,3835.8,3620.6,3405.7,3882.2,3845.3,3801.2,3627.3,3271.6
Total_Liabilities,3119.7,3150.9,2916.2,3118.4,3077.0,3339.4,3178.1,2808.9
