AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,101.0,95.0,108.0,105.0,99.0,87.0,84.0
Cash_from_Operations,643.0,748.0,371.0,394.0,667.0,587.0,588.0
Diluted_EPS,2.854,-3.125,-1.646,1.093,3.114,1.461,1.242
Goodwill_Intangibles,4802.0,4871.0,8894.0,9228.0,6037.0,6112.0,6107.0
LT_Debt,2953.0,3164.0,3233.0,2800.0,3221.0,3265.0,2962.0
Net_Income,343.0,-360.0,-255.0,131.0,431.0,213.0,184.0
Revenue,7983.0,6221.0,5870.0,6079.0,5810.0,5810.0,5706.0
Shares_Diluted,120.2,115.2,114.2,125.3,138.4,145.8,148.1
Total_Assets,7210.0,6934.0,7543.0,7290.0,7337.0,7421.0,7531.0
Total_Liabilities,5024.0,5171.0,5451.0,4979.0,4719.0,4957.0,5113.0
