AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,1.4,0.0,0.0,0.0,0.1,0.0,0.0,
Cash_from_Operations,-1.6,0.0,0.0,-0.3,-0.7,0.4,-0.4,-1.5
Diluted_EPS,-0.084,-0.009,-0.008,-1.333,-1.203,-0.309,-0.299,-0.35600000000000004
Goodwill_Intangibles,0.3,,,0.0,4.0,0.0,0.0,0.0
LT_Debt,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-1.5,0.0,0.0,-5.6,-4.9,-1.2,-1.1,-1.2
Revenue,0.2,0.0,0.0,0.1,0.2,0.0,0.2,0.2
Shares_Diluted,17.466,4.2055,4.2055,4.2055,4.0424,3.9841,3.8235,3.4410000000000003
Total_Assets,25.3,0.0,0.0,0.0,4.1,2.0,1.7,2.1
Total_Liabilities,4.1,0.1,0.0,1.4,1.0,2.8,1.3,2.0
