AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.3,0.5,0.8,0.7,0.9,1.3,3.8,5.5
Cash_from_Operations,-8.1,47.0,11.2,5.3,2.1,8.7,4.2,-1.6,16.0
Diluted_EPS,0.07,-1.183,0.345,0.373,0.274,0.474,0.738,0.882,-0.431
Goodwill_Intangibles,14.4,15.5,0.0,,,,,0.4,0.4
LT_Debt,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,0.9,-13.4,4.2,4.7,3.5,6.6,10.9,13.1,-6.6
Revenue,62.7,53.6,104.9,111.3,106.5,114.3,124.0,153.2,170.6
Shares_Diluted,12.991,11.344,12.035,12.51,12.894,13.997,14.722,14.809,15.269
Total_Assets,99.7,102.4,54.5,43.4,45.7,53.5,68.6,93.3,114.8
Total_Liabilities,104.0,100.5,43.7,29.4,32.6,35.5,47.2,57.5,83.5
