AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,504.7,510.4,453.5,292.9,296.9,264.5,158.7,112.2,112.7
Cash_from_Operations,583.6,512.3,396.9,298.0,235.0,193.1,173.7,148.8,94.4
Diluted_EPS,3.036,0.536,0.883,1.014,0.31,0.373,0.633,0.458,-0.307
Goodwill_Intangibles,505.1,516.3,527.7,535.4,44.6,45.6,77.5,39.0,39.3
LT_Debt,1298.7,1465.3,1469.7,1371.6,551.6,429.4,283.9,319.8,360.8
Net_Income,231.4,32.1,61.2,69.3,18.5,23.5,41.2,29.9,-19.6
Revenue,1734.3,1570.6,1452.2,892.3,1068.2,768.9,619.3,589.6,580.0
Shares_Diluted,76.216,59.931,69.348,68.356,59.686,62.994,65.127,65.211,63.992
Total_Assets,3267.3,3001.7,2820.2,2470.6,1548.8,1259.3,1041.7,1011.9,1033.1
Total_Liabilities,1945.0,2146.2,2359.8,2034.1,1153.6,927.4,677.6,664.4,664.2
