AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,12/31/2011
Capital_Expenditures,0.9,0.3,,,,1.4,0.5,2.1,0.3,0.3,0.3
Cash_from_Operations,14.5,15.7,,,,8.1,6.8,5.1,7.3,7.3,6.1
Diluted_EPS,2.982,3.703,0.763,0.931,0.854,-0.305,0.198,,,,
Goodwill_Intangibles,0.1,0.2,,,,0.7,0.8,1.2,1.6,1.8,2.4
LT_Debt,4.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
Net_Income,8.0,9.5,2.8,3.5,3.5,-1.4,0.9,-7.6,-1.4,-1.4,-1.4
Revenue,28.0,28.8,25.2,22.9,20.8,18.3,19.0,24.0,26.9,26.9,26.9
Shares_Diluted,2.6799,2.5736,2.8749,3.2943,3.5636,3.7329,3.7301,4.1286,4.7008,4.7008,4.7391
Total_Assets,957.9,921.8,887.3,855.6,816.3,790.3,702.6,638.9,568.7,543.3,578.6
Total_Liabilities,886.6,836.8,808.4,773.2,739.2,709.2,623.0,560.1,482.2,452.7,532.5
