AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,38.7,44.7,63.1,25.1,42.7,27.1,33.7,20.9,24.3
Cash_from_Operations,1114.8,343.5,199.0,10.8,259.2,406.7,791.2,862.2,1097.0
Diluted_EPS,6.898,-1.788,3.343,0.005,-4.943,5.084,6.038,7.29,5.93
Goodwill_Intangibles,309.5,320.4,332.6,343.6,360.0,85.0,86.9,89.0,89.5
LT_Debt,1311.0,1309.7,1308.2,1092.0,1376.5,993.0,991.8,990.8,995.9
Net_Income,588.4,-150.7,282.4,0.4,-415.8,465.5,601.6,770.7,683.9
Revenue,5321.7,4843.8,5191.1,5103.6,4606.1,4031.9,4203.0,4377.8,4205.7
Shares_Diluted,85.291,84.262,84.473,84.007,84.108,91.547,99.629,105.713,115.32799999999999
Total_Assets,27369.0,25877.7,25604.1,24132.6,24760.2,20813.7,19981.9,19955.7,19634.8
Total_Liabilities,21958.3,20582.0,20060.0,19102.5,19418.9,14541.3,14115.0,14134.6,13816.8
