AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,5.6,5.0,8.6,18.5,13.6,15.5,5.5,20.1
Cash_from_Operations,46.8,5.3,5.7,12.1,-5.6,3.3,3.0,-1.2
Diluted_EPS,0.769,-5.583,-1.161,-0.769,-0.292,0.257,0.728,-1.505
Goodwill_Intangibles,5.2,5.7,6.3,6.7,7.1,14.9,7.8,8.2
LT_Debt,58.5,70.6,61.0,74.6,72.1,53.3,42.6,43.6
Net_Income,5.2,-36.1,-7.4,-4.8,-1.8,1.6,4.5,-8.9
Revenue,499.5,475.0,476.1,574.8,426.1,387.6,344.2,260.2
Shares_Diluted,6.705,6.459,6.372,6.279,6.199,6.315,6.197,5.899
Total_Assets,439.9,440.4,159.2,167.6,163.1,137.1,129.1,137.7
Total_Liabilities,471.2,477.3,160.4,161.1,151.6,123.8,117.3,124.7
