AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,7.7,9.8,4.4,7.2,2.9
Cash_from_Operations,90.0,65.2,52.8,11.8,9.4
Diluted_EPS,-1.17,-0.636,-0.221,-0.334,-0.312
Goodwill_Intangibles,1075.7,1110.3,744.4,774.9,753.3
LT_Debt,364.5,362.0,0.0,201.3,171.7
Net_Income,-141.3,-75.2,-24.1,-34.3,-36.3
Revenue,478.8,366.4,269.1,204.0,146.6
Shares_Diluted,120.721,118.2765,108.9086,102.7521,116.3624
Total_Assets,1529.5,1480.4,1074.3,904.8,853.4
Total_Liabilities,828.2,742.0,263.3,400.9,320.3
