AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,16.2,12.5,10.9,13.3,,
Cash_from_Operations,8.0,10.1,39.8,-8.3,0.0,
Diluted_EPS,-1.011,-1.421,-1.174,-1.273,0.0,
Goodwill_Intangibles,438.0,455.1,508.8,525.7,,
LT_Debt,524.5,507.7,472.6,468.9,0.0,0.0
Net_Income,-43.2,-60.5,-49.9,-54.0,0.0,
Revenue,317.4,320.5,289.5,312.1,,
Shares_Diluted,42.7097,42.6017,42.529,42.4253,25.0,
Total_Assets,619.4,636.4,679.7,714.9,0.2,
Total_Liabilities,585.8,558.5,537.5,531.1,0.1,
