AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2013,06/30/2012,06/30/2011
Capital_Expenditures,,0.0,,0.4,0.0,0.1,0.1,0.1
Cash_from_Operations,-0.3,-0.3,-2.4,-2.6,0.0,0.5,0.0,-0.4
Diluted_EPS,-0.338,-0.573,-0.63,0.427,0.175,0.058,-0.083,-0.122
Goodwill_Intangibles,0.2,0.3,0.3,0.3,0.5,0.7,0.8,0.8
LT_Debt,1.0,1.0,0.5,0.0,2.1,2.6,2.7,2.7
Net_Income,-1.6,-2.7,-3.0,2.0,0.8,0.3,-0.4,-0.6
Revenue,3.8,3.7,6.2,5.2,5.6,5.8,5.7,5.5
Shares_Diluted,4.7723,4.7723,4.7723,4.7723,4.7723,4.7723,4.7723,4.7723
Total_Assets,2.9,3.8,5.4,6.0,4.8,6.5,6.5,7.0
Total_Liabilities,3.0,2.3,3.5,1.0,3.1,3.7,4.0,4.1
