AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.6,0.6,0.8,0.9,1.5,1.4,1.5,1.2
Cash_from_Operations,20.4,30.3,56.1,2.1,122.2,190.2,160.0,191.6
Diluted_EPS,-0.595,-10.561,-15.734,-86.644,-48.174,-39.199,18.081,17.287
Goodwill_Intangibles,272.9,300.2,363.8,529.6,1175.1,1953.6,2229.1,2186.6
LT_Debt,536.0,583.7,621.0,756.5,1093.7,1388.3,1333.0,1366.1
Net_Income,-7.3,-111.5,-106.0,-494.8,-252.1,-189.3,103.7,105.0
Revenue,108.6,149.0,187.7,225.8,255.1,379.2,391.5,390.6
Shares_Diluted,12.334,10.559,6.734,5.7112,5.2338,4.8293,5.7366,6.0734
Total_Assets,412.7,506.1,633.9,870.5,2005.5,2504.6,2773.0,2864.2
Total_Liabilities,688.2,788.9,806.6,944.9,1627.4,1913.8,1954.8,1879.4
