AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017
Capital_Expenditures,0.1,0.0,0.0,0.2,0.0,0.0
Cash_from_Operations,6.8,5.3,-0.6,-4.4,10.7,6.1
Diluted_EPS,0.127,0.094,-0.029,-0.004,0.118,0.212
Goodwill_Intangibles,0.5,1.0,1.4,1.2,3.2,3.4
LT_Debt,0.0,0.1,0.1,0.1,0.5,0.5
Net_Income,4.1,3.1,-1.0,-0.1,2.4,4.2
Revenue,34.7,28.4,21.0,28.4,34.9,36.9
Shares_Diluted,32.7,32.7,32.7,32.7,20.174,20.0
Total_Assets,28.1,28.5,25.6,26.0,29.2,21.1
Total_Liabilities,10.3,9.5,8.5,8.2,12.4,6.4
