AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,124.0,118.0,126.0,232.0,253.0,138.0,121.0,141.0,160.0
Cash_from_Operations,2275.0,111.0,1697.0,1767.0,1883.0,1490.0,1229.0,1390.0,2649.0
Diluted_EPS,5.161,2.219,3.808,3.522,3.252,1.968,1.548,1.551,-6.117999999999999
Goodwill_Intangibles,7980.0,8008.0,7944.0,7775.0,7718.0,7685.0,7644.0,7630.0,7605.0
LT_Debt,4982.0,6966.0,6535.0,6925.0,11765.0,12790.0,9886.0,4642.0,1350.0
Net_Income,2206.0,950.0,1718.0,1692.0,1638.0,1031.0,833.0,865.0,-3426.0
Revenue,4851.0,5357.0,6189.0,5758.0,4920.0,4266.0,3854.0,3664.0,3501.0
Shares_Diluted,427.4358,428.1578,451.2137,480.4307,503.6851,523.9307,538.2209,557.7249,559.9983
Total_Assets,188409.0,183349.0,165733.0,160518.0,152336.0,149520.0,138208.0,132857.0,122154.0
Total_Liabilities,164989.0,160676.0,143532.0,139701.0,132066.0,129773.0,118562.0,113589.0,102958.0
