AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,6.9,4.7,2.1,19.9,12.1
Cash_from_Operations,124.1,122.2,29.1,48.0,49.8
Diluted_EPS,-0.208,-0.205,-0.174,-0.191,-0.112
Goodwill_Intangibles,1890.1,1948.1,2002.1,2082.8,
LT_Debt,208.0,262.3,754.0,758.5,0.0
Net_Income,-100.3,-86.1,-83.7,-91.8,-54.0
Revenue,630.6,518.8,498.7,567.6,480.0
Shares_Diluted,483.0473,420.6925,481.1217,481.1217,481.1217
Total_Assets,2265.9,2306.1,2331.7,2445.0,
Total_Liabilities,655.1,676.6,1160.8,1209.2,
