AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,515.1,434.3,405.8,316.0,284.0,276.4,287.9,283.7,270.4,230.5
Cash_from_Operations,307.2,220.0,352.1,296.7,382.0,322.7,286.8,339.8,250.0,193.7
Diluted_EPS,3.251,3.602,3.061,3.983,3.921,3.344,3.387,3.197,3.005,2.464
Goodwill_Intangibles,357.6,357.6,357.6,357.6,357.6,357.6,357.6,357.6,355.1,355.1
LT_Debt,2483.2,2553.4,2330.0,2250.7,2122.3,1815.6,1817.7,1794.5,1690.3,1185.0
Net_Income,183.0,186.8,155.2,202.1,197.0,162.7,164.2,151.2,120.7,94.0
Revenue,1477.8,1372.3,1198.7,1257.9,1192.0,1305.7,1257.2,1214.3,1204.9,1154.5
Shares_Diluted,56.2921,51.8722,50.7044,50.7519,50.2375,48.6553,48.4751,47.298,40.156,38.145
Total_Assets,7317.8,6780.4,6389.4,6083.5,5644.4,5420.9,5499.3,5264.7,4973.9,3715.3
Total_Liabilities,4652.6,4440.7,4310.4,4044.4,3702.0,3622.0,3823.1,3664.5,3496.2,2684.6
