AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,20.0,6.0,3.1,2.4,5.9
Cash_from_Operations,755.6,-2924.3,977.2,276.1,-5.4
Diluted_EPS,-0.078,-0.036,-0.037,-0.02,-0.006
Goodwill_Intangibles,579.6,474.2,13.2,1.1,0.5
LT_Debt,567.6,164.9,517.6,322.0,115.4
Net_Income,-364.6,-165.0,-171.5,-92.5,-28.6
Revenue,4792.2,1698.0,737.1,612.1,318.9
Shares_Diluted,4676.977,4609.989,4608.685,4608.685,4608.685
Total_Assets,29916.6,19858.7,10154.3,6760.0,2785.8
Total_Liabilities,25025.8,15417.6,9716.1,6147.8,2489.1
