AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,4.2,2.6,8.7,3.4,2.5
Cash_from_Operations,41.7,22.4,5.8,22.9,3.4
Diluted_EPS,-0.782,-0.148,-0.022,-0.173,0.244
Goodwill_Intangibles,718.6,621.6,605.6,624.7,627.7
LT_Debt,291.2,149.0,50.9,241.1,165.2
Net_Income,-64.4,-11.9,-1.5,-13.4,19.0
Revenue,299.4,243.6,242.9,201.6,172.5
Shares_Diluted,82.302,80.43,68.906,77.6415,77.6415
Total_Assets,1178.0,990.5,872.8,857.0,776.2
Total_Liabilities,436.6,269.3,162.3,347.9,255.5
