AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,45.8,36.4,44.4,11.4,10.4
Cash_from_Operations,565.8,322.2,930.3,191.8,146.8
Diluted_EPS,1.21,0.659,1.044,0.492,0.343
Goodwill_Intangibles,21.1,36.7,48.9,68.0,68.0
LT_Debt,75.6,52.5,40.1,22.4,0.0
Net_Income,798.6,435.0,688.1,313.2,212.9
Revenue,2110.7,1226.7,1462.3,776.0,437.5
Shares_Diluted,660.096,660.458,658.859,636.368,620.45
Total_Assets,4378.8,3561.6,3057.7,2190.1,1223.6
Total_Liabilities,410.3,351.6,292.4,158.5,64.6
