AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,5.2,21.4,66.0,50.8,3.2,0.0
Cash_from_Operations,-220.5,-184.8,-115.1,-137.4,-44.7,0.0
Diluted_EPS,-2.324,-1.892,-2.079,-1.827,-1.741,0.0
Goodwill_Intangibles,,,0.0,0.2,0.8,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-332.6,-257.0,-250.2,-184.6,-211.5,0.0
Revenue,0.2,38.5,,,,
Shares_Diluted,143.1472,135.8204,120.3702,101.0611,121.4827,115.2268
Total_Assets,817.1,1038.6,1227.8,717.8,773.9,0.0
Total_Liabilities,151.2,122.2,148.2,88.8,70.7,0.0
