AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,22.7,22.6,24.3,18.6,20.3,33.0,29.4,23.6,26.4
Cash_from_Operations,347.6,200.9,32.6,87.7,9.0,71.8,-45.9,161.4,127.5
Diluted_EPS,0.174,-0.041,-3.337,-0.254,-2.418,4.245,-0.893,-0.711,-0.486
Goodwill_Intangibles,2474.5,2590.4,702.1,815.9,808.7,906.5,929.8,1015.1,1023.6
LT_Debt,1184.7,1191.6,843.2,887.6,954.2,882.8,936.2,728.4,742.6
Net_Income,51.7,-3.7,-243.2,-17.6,-138.4,235.5,-45.8,-35.5,-24.1
Revenue,2687.8,1469.4,1199.0,1415.8,1475.1,1513.8,1385.8,1326.3,1223.5
Shares_Diluted,296.596,90.4262,72.8622,69.1321,57.219,55.4818,51.3458,49.8753,49.5454
Total_Assets,3993.3,4055.6,1511.3,1828.3,1611.6,1698.9,1577.4,1577.6,1648.9
Total_Liabilities,3510.8,3684.8,1961.2,2059.1,1923.1,1912.4,2152.5,2143.8,2090.1
