AAII_YR_DATA,12/31/2022,01/01/2022,01/02/2021,12/28/2019,12/29/2018
Capital_Expenditures,12.0,16.0,15.2,16.6,19.6
Cash_from_Operations,-48.4,-11.4,116.6,-8.7,21.6
Diluted_EPS,-3.568,-0.686,-0.317,-0.425,-0.262
Goodwill_Intangibles,1255.6,1938.4,1390.0,1280.4,
LT_Debt,1281.1,1227.2,1165.0,1019.6,0.0
Net_Income,-662.0,-117.0,-57.1,-76.5,-47.1
Revenue,1787.6,1678.6,1495.1,1384.1,1253.7
Shares_Diluted,185.553,170.625,180.1642,180.1642,180.1642
Total_Assets,1711.8,2334.4,1844.0,1578.4,
Total_Liabilities,1715.9,1696.4,1576.8,1307.5,
