AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.6,1.0,1.3,0.3,1.1,1.7,1.7
Cash_from_Operations,1.2,3.7,-12.5,10.5,7.8,3.0,7.5
Diluted_EPS,0.146,0.155,-0.541,-0.212,0.478,0.481,0.687
Goodwill_Intangibles,0.0,0.0,0.0,0.0,1.0,1.0,1.0
LT_Debt,0.0,0.4,0.5,0.0,8.4,6.8,6.8
Net_Income,1.2,1.4,-4.9,-1.9,4.4,4.5,6.4
Revenue,80.3,82.7,64.1,74.9,83.2,82.3,82.9
Shares_Diluted,8.3946,8.7205,9.0626,8.9732,9.205,9.2568,9.3216
Total_Assets,68.6,73.1,75.7,80.1,76.8,74.9,70.7
Total_Liabilities,17.1,21.6,23.5,23.7,18.5,15.4,17.0
