AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,0.6,10.3,14.4,5.7,3.5
Cash_from_Operations,3654.5,-2356.1,-1335.2,-1206.7,262.8
Diluted_EPS,-1.179,1.188,4.424,-0.21,-0.174
Goodwill_Intangibles,0.0,10.8,10.8,11.9,11.0
LT_Debt,1128.5,2267.6,454.0,425.0,680.5
Net_Income,-163.5,166.3,607.0,-29.2,-24.2
Revenue,465.6,1244.8,1732.2,430.8,259.1
Shares_Diluted,138.638,139.996,137.2,138.8601,138.8601
Total_Assets,2438.2,7258.3,7378.6,2908.8,1636.4
Total_Liabilities,1834.7,6481.7,6451.1,2498.5,1197.6
