AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,1.4,1.1,0.9,2.1,4.8
Cash_from_Operations,92.5,60.4,44.8,38.0,11.6
Diluted_EPS,0.092,-0.089,-0.371,-0.058,-0.218
Goodwill_Intangibles,1204.5,1215.2,915.0,943.0,973.9
LT_Debt,290.0,291.7,294.4,397.1,404.8
Net_Income,14.7,-13.3,-49.4,-8.9,-33.3
Revenue,335.6,286.1,243.5,208.5,163.7
Shares_Diluted,159.3544,149.8427,133.2472,152.6818,152.6818
Total_Assets,1572.9,1511.7,1269.4,1037.1,1051.5
Total_Liabilities,493.3,469.9,447.3,545.0,558.7
