AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,59.0,113.3,92.5,125.0,156.0,67.6,16.8,26.5,17.0
Cash_from_Operations,544.9,212.8,298.9,270.9,322.3,300.2,391.4,357.4,387.2
Diluted_EPS,10.029,8.895,3.541,5.571,4.102,5.954,5.823,6.5539999999999985,6.443
Goodwill_Intangibles,194.1,217.2,238.4,271.2,177.2,195.1,197.1,168.8,123.3
LT_Debt,17631.1,19320.7,20529.1,22218.7,21356.6,24668.5,28105.9,28027.3,25955.3
Net_Income,386.9,347.5,139.9,225.2,171.4,254.1,265.1,304.5,300.0
Revenue,1419.9,1405.6,1714.7,1702.4,1196.7,1226.7,1174.6,1150.8,1097.7
Shares_Diluted,38.5728,39.0596,39.5231,40.4167,41.7919,42.6691,45.5293,46.4696,46.5703
Total_Assets,21678.0,22646.2,23709.0,25221.0,23964.4,27193.1,30419.1,30098.1,27770.8
Total_Liabilities,18726.8,20014.1,21322.3,22916.5,21814.9,25131.4,28534.7,28372.7,26327.2
