AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,651.0,828.0,1227.0,1018.0,949.0,837.0,1398.0,1528.6,1178.7,898.1
Cash_from_Operations,-795.0,15.0,-1312.0,3038.0,4701.0,4543.0,4044.0,3450.0,4832.8,4439.4
Diluted_EPS,2.398,-1.258,-2.206,3.499,3.07,3.545,2.112,2.465,3.516,2.7910000000000004
Goodwill_Intangibles,64.0,19.0,50.0,42.0,72.0,178.0,103.0,106.6,86.3,102.1
LT_Debt,13947.0,14721.0,13929.0,12422.0,11874.0,9344.0,9428.0,9249.0,9892.9,9382.8
Net_Income,1832.0,-961.0,-1685.0,2698.0,2413.0,2808.0,1679.0,1966.2,2840.6,2306.0
Revenue,4110.0,4234.0,2940.0,12127.0,13729.0,12728.0,11271.0,11688.5,14583.8,13769.9
Shares_Diluted,764.0,764.0,764.0,771.0,786.0,792.0,795.0,797.5961,808.0192,826.3161
Total_Assets,22039.0,20059.0,20807.0,23199.0,22547.0,20687.0,20469.0,20863.0,22354.0,22724.3
Total_Liabilities,18158.0,18063.0,17834.0,18012.0,16863.0,14201.0,14292.0,14046.0,15140.5,15058.8
