AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,0.1,0.4,0.3,0.4,0.3
Cash_from_Operations,-8.7,-7.5,-11.5,-8.1,-16.7
Diluted_EPS,-192.355,-8.412,-64.278,-68.277,-601.31
Goodwill_Intangibles,0.0,0.0,0.0,15.4,15.4
LT_Debt,0.0,0.8,0.1,7.0,1.1
Net_Income,,-6.8,-27.5,-12.5,-18.7
Revenue,0.9,0.7,0.4,0.8,2.4
Shares_Diluted,0.8055,0.4284,0.1833,0.031,
Total_Assets,6.9,16.0,12.2,38.3,25.4
Total_Liabilities,2.9,3.1,3.8,14.1,4.4
