AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,0.2,0.3,0.0,0.1,1.3
Cash_from_Operations,144.5,98.6,-3.0,-75.4,-38.8
Diluted_EPS,2.97,0.584,-1.122,-2.93,-0.963
Goodwill_Intangibles,161.0,143.9,162.3,72.2,0.0
LT_Debt,189.6,190.0,194.3,97.9,0.0
Net_Income,181.5,34.6,-63.8,-187.2,-70.1
Revenue,437.9,305.4,159.7,6.0,0.0
Shares_Diluted,61.097,59.2052,56.8906,63.8917,72.7654
Total_Assets,673.9,433.4,427.1,106.7,89.3
Total_Liabilities,271.0,246.9,329.9,118.3,7.8
