AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,74.0,167.0,217.5,143.8,92.0,71.5
Cash_from_Operations,116.0,111.0,182.1,264.4,284.6,279.5
Diluted_EPS,-3.713,-4.486,2.607,-0.017,0.443,-5.673
Goodwill_Intangibles,4.0,5.0,181.0,177.0,178.1,
LT_Debt,930.0,1029.0,992.0,1682.4,1694.6,0.0
Net_Income,-212.0,-262.0,151.8,0.8,26.4,-337.3
Revenue,812.0,862.0,836.0,871.0,1030.0,976.9
Shares_Diluted,57.1,58.4,58.3,59.1,59.4612,59.4612
Total_Assets,2109.0,2455.0,2953.0,2892.5,2985.8,
Total_Liabilities,1074.0,1161.0,2128.0,2237.5,2242.2,
