AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,29.4,14.9,18.3,21.6,36.1,30.3,35.8,36.8,41.8,30.7
Cash_from_Operations,122.3,138.2,51.4,195.8,199.3,38.4,64.5,86.5,32.2,69.9
Diluted_EPS,9.813,8.553,8.663,1.841,0.938,24.761,-1.856,-0.929,0.853,1.166
Goodwill_Intangibles,1663.6,1842.2,1175.4,952.2,631.0,683.1,378.4,582.2,435.2,420.3
LT_Debt,775.1,963.9,487.5,625.2,462.5,618.3,708.0,627.2,557.9,256.6
Net_Income,205.1,177.9,182.5,38.3,19.6,539.8,-40.1,-20.9,22.0,27.4
Revenue,1099.2,840.4,800.0,1205.7,1274.1,1101.4,1187.7,1204.4,1219.3,1144.2
Shares_Diluted,20.9,20.8,20.5,20.8,20.9,21.8,21.6,22.5,25.8,23.5
Total_Assets,2647.8,2974.6,2083.6,2035.1,1715.8,1886.1,1546.4,1498.8,1602.7,1398.3
Total_Liabilities,1252.7,1704.3,1005.1,1148.2,858.1,983.3,1187.9,1039.0,977.9,784.9
