AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,20.9,29.9,23.9,26.1,0.5
Cash_from_Operations,-290.1,-251.1,-138.0,-85.5,-13.5
Diluted_EPS,-1.431,-2.139,-1.552,-0.711,-0.072
Goodwill_Intangibles,199.8,199.8,199.8,259.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0
Net_Income,-269.5,-355.9,-285.3,-130.8,-13.2
Revenue,,0.0,0.0,0.0,0.0
Shares_Diluted,188.344,166.433,183.8148,183.8148,183.8148
Total_Assets,822.7,1129.4,730.3,415.2,34.3
Total_Liabilities,323.4,400.9,298.6,140.4,1.8
