AAII_YR_DATA,12/31/2022,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013
Capital_Expenditures,0.3,0.8,0.2,0.1,0.2,0.1,0.0,0.1,0.1,0.7,0.0
Cash_from_Operations,-2.8,-5.5,-3.3,-0.2,1.2,0.3,0.0,0.9,0.1,0.0,0.6
Diluted_EPS,-0.582,-0.85,-1.151,-0.464,0.427,-0.107,-0.049,0.111,0.006,-0.054,0.295
Goodwill_Intangibles,1.9,6.5,7.0,0.4,0.9,1.0,1.3,1.6,2.2,2.5,1.4
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-4.1,-5.6,-3.7,-0.7,0.6,-0.2,-0.1,0.2,0.0,-0.1,0.4
Revenue,5.2,11.4,9.8,7.8,10.2,8.5,8.1,9.6,7.8,6.8,7.1
Shares_Diluted,7.0036,6.6375,3.1896,1.5151,1.5122,1.4941,1.4912,1.4894,1.4799,1.3851,1.3422
Total_Assets,18.1,29.0,29.0,14.8,8.3,7.3,6.8,7.5,7.1,7.1,6.2
Total_Liabilities,3.3,3.5,2.8,3.1,1.9,1.6,1.0,1.6,1.4,1.4,0.8
