AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,214.2,150.5,131.8,150.1,165.0,149.3,128.5,127.5,96.7
Cash_from_Operations,688.7,825.7,637.2,604.0,600.3,650.5,429.2,266.2,297.8
Diluted_EPS,5.537,3.945,3.057,2.661,3.033,2.619,1.933,0.951,1.341
Goodwill_Intangibles,3848.9,3815.1,3259.1,3327.1,3074.4,2940.8,2752.0,2124.3,2062.7
LT_Debt,2309.8,2572.2,1784.6,1809.0,1507.6,1431.1,1168.7,643.7,350.0
Net_Income,772.4,553.1,431.9,389.6,472.6,413.2,315.0,158.1,229.7
Revenue,7656.1,6090.3,5764.6,5485.1,5283.3,4984.9,4579.4,4013.6,3703.6
Shares_Diluted,139.5,140.2,141.3,146.4,155.8,157.8,163.0,166.3,171.3
Total_Assets,7936.2,7358.7,6291.3,5964.6,5511.4,5128.5,4875.7,4052.9,4178.1
Total_Liabilities,4871.4,4583.2,3864.7,3786.4,2911.9,2767.0,2424.8,1793.4,1528.7
