AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,1.9,0.2,0.4,,1.8,0.4,0.5,0.5,,,
Cash_from_Operations,36.9,28.0,24.5,,36.9,16.5,9.2,5.1,,,
Diluted_EPS,1.84,1.788,0.972,0.947,0.947,0.48,0.605,0.409,0.627,0.33,0.634
Goodwill_Intangibles,19.4,20.0,18.0,20.1,17.4,11.4,0.2,0.3,0.4,0.0,0.0
LT_Debt,29.7,29.6,29.5,22.0,21.9,21.7,21.6,21.5,0.0,0.0,0.0
Net_Income,36.3,35.4,19.4,17.6,17.6,7.0,6.4,3.9,5.8,1.7,2.6
Revenue,107.3,91.1,89.2,72.7,72.7,51.2,38.3,30.8,25.4,16.6,14.2
Shares_Diluted,19.7167,19.8157,20.0054,19.3924,18.5715,14.5777,10.58,9.4923,9.3091,5.1722,5.1722
Total_Assets,2732.9,2523.7,2346.3,2013.4,1711.2,1452.3,1073.3,856.1,677.5,466.8,350.8
Total_Liabilities,2443.4,2257.1,2108.2,1785.2,1516.3,1289.1,984.5,787.3,,,
