AAII_YR_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.3,32.5,0.1,9.4,0.0,41.5,41.3,28.0,73.1,30.9,90.8
Cash_from_Operations,-8.7,59.1,-6.8,41.7,-0.5,59.0,91.0,78.2,-1.4,102.0,188.2
Diluted_EPS,-0.679,0.725,-0.471,-1.403,-0.007,-0.072,0.284,-1.434,-1.597,-1.89,-0.025
Goodwill_Intangibles,0.0,3.5,0.0,0.8,0.0,44.3,47.7,54.6,139.2,160.5,139.3
LT_Debt,0.1,4.0,5.1,9.2,0.0,49.5,68.9,92.1,7.3,84.0,88.5
Net_Income,-11.7,53.1,-7.9,-101.8,-0.1,-5.3,20.6,-103.6,-115.3,-138.9,14.7
Revenue,79.7,222.3,14.0,151.8,0.3,184.9,232.5,195.4,83.9,122.2,364.0
Shares_Diluted,17.2881,73.1818,16.825,72.5421,16.825,72.5137,72.6313,72.2054,72.2054,73.49,82.4
Total_Assets,2.7,314.5,3.7,264.5,0.6,405.5,418.6,431.0,534.2,599.1,837.7
Total_Liabilities,18.3,79.6,10.2,82.7,0.2,123.4,128.9,154.8,158.9,110.2,197.2
