AAII_YR_DATA,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017
Capital_Expenditures,156.4,83.0,28.0,10.2,
Cash_from_Operations,376.3,-108.6,49.7,-18.6,
Diluted_EPS,-0.643,-0.324,-0.879,-0.171,-0.585
Goodwill_Intangibles,458.0,55.1,23.8,28.7,
LT_Debt,829.8,0.0,0.0,0.0,0.0
Net_Income,-189.0,-71.6,-245.7,-47.9,-163.4
Revenue,4021.8,1825.9,915.0,435.0,218.6
Shares_Diluted,293.8926,220.9522,279.3905,279.3905,279.3905
Total_Assets,4485.6,2981.8,864.5,271.2,
Total_Liabilities,2731.5,1303.8,462.0,180.5,
