AAII_YR_DATA,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014
Capital_Expenditures,0.2,1.5,4.4,0.0,0.1,0.1,0.1,0.1,0.0
Cash_from_Operations,-7.5,-10.8,-8.7,-3.3,-1.9,-1.4,-0.2,-2.6,-1.7
Diluted_EPS,-0.3,-0.21,-0.185,-0.116,-0.064,-0.073,-0.171,-0.313,-0.368
Goodwill_Intangibles,0.9,0.4,0.3,0.2,0.1,0.2,1.3,1.3,0.5
LT_Debt,0.1,0.3,0.0,0.0,0.4,2.6,0.8,2.1,1.8
Net_Income,-15.0,-8.8,-7.3,-4.1,-1.8,-1.9,-2.8,-4.6,-3.0
Revenue,0.4,0.9,4.1,5.1,2.2,0.6,6.4,7.7,2.3
Shares_Diluted,49.9916,41.9634,39.49,35.3934,27.9373,25.6585,16.3873,14.7559,8.2057
Total_Assets,26.8,35.9,29.0,34.5,10.9,11.3,18.9,20.3,17.7
Total_Liabilities,2.9,3.1,2.4,0.9,2.8,3.9,5.4,6.1,4.1
