AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,342.0,250.0,222.0,222.0,270.0
Cash_from_Operations,542.0,455.0,333.0,145.0,335.0
Diluted_EPS,1.675,1.324,-0.271,0.524,0.611
Goodwill_Intangibles,3298.0,2274.0,2362.0,2327.0,
LT_Debt,1739.0,927.0,615.0,642.0,0.0
Net_Income,197.0,153.0,-31.0,60.0,70.0
Revenue,8993.0,7940.0,6195.0,6094.0,6065.0
Shares_Diluted,117.616,115.597,114.6021,114.6021,114.6021
Total_Assets,9219.0,7271.0,6548.0,6151.0,
Total_Liabilities,6574.0,4920.0,3725.0,3584.0,
