AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,08/31/2019,08/31/2018,08/31/2017
Capital_Expenditures,19.8,45.8,1.6,0.0,22.0,
Cash_from_Operations,-4.6,-12.0,-3.0,1.3,-19.6,0.0
Diluted_EPS,0.215,-0.194,-0.598,-5.419,-53.129,
Goodwill_Intangibles,1.8,3.8,3.9,,,
LT_Debt,1.1,0.0,4.0,0.0,0.0,0.0
Net_Income,5.8,-4.2,-7.0,-11.6,-51.0,
Revenue,32.7,33.7,4.8,15.5,4.6,
Shares_Diluted,27.2273,21.7818,11.7155,2.1422,0.9596,0.6863
Total_Assets,71.0,108.1,22.3,5.9,28.1,0.9
Total_Liabilities,7.3,13.3,8.2,1.1,11.9,
