AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,07/01/2015
Capital_Expenditures,24.6,19.4,4.3,5.6,5.2,9.0,9.5,
Cash_from_Operations,50.1,25.9,51.7,2.2,-5.7,6.6,3.0,
Diluted_EPS,1.229,0.155,0.423,0.596,-0.864,-0.422,0.123,
Goodwill_Intangibles,14.9,15.0,14.6,14.8,16.0,17.8,21.0,24.6
LT_Debt,76.3,73.7,65.8,65.8,9.9,14.7,12.2,11.4
Net_Income,23.0,2.8,7.8,11.0,-15.9,-7.8,2.3,
Revenue,493.6,443.7,405.1,368.4,342.2,334.5,323.7,
Shares_Diluted,18.7011,18.3849,18.3882,18.3882,18.3882,18.3882,18.3882,
Total_Assets,290.1,274.3,195.2,188.3,157.1,152.2,138.4,108.0
Total_Liabilities,189.8,193.6,179.1,179.7,129.1,123.5,122.3,90.9
