AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.3,0.2,0.0,0.1,0.6,0.7,0.4
Cash_from_Operations,-21.0,-23.5,-3.9,2.7,1.4,0.5,0.0
Diluted_EPS,-8.061,-56.602,-60.533,-28.703,-4.092,-17.903,-61.44
Goodwill_Intangibles,2.0,8.0,1.4,2.6,2.7,2.5,1.9
LT_Debt,1.2,0.0,0.5,0.0,2.8,0.2,5.4
Net_Income,-24.6,-122.6,-4.4,-2.1,-0.3,-1.1,-2.9
Revenue,,,5.8,19.8,23.3,21.3,22.3
Shares_Diluted,3.051,2.1653,0.0732,0.0719,0.0672,0.0611,0.0476
Total_Assets,22.3,31.5,3.7,14.1,14.9,16.6,16.7
Total_Liabilities,10.2,6.0,2.9,9.0,7.9,11.0,12.6
