AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019
Capital_Expenditures,123.1,127.7,144.3,176.3
Cash_from_Operations,-64.8,80.8,0.8,25.4
Diluted_EPS,-0.446,-0.276,-0.202,-0.054
Goodwill_Intangibles,,1.4,1.7,1.1
LT_Debt,304.6,211.5,269.7,169.4
Net_Income,-98.9,-67.4,-49.3,-13.1
Revenue,382.8,366.0,364.1,439.2
Shares_Diluted,222.0,244.2259,244.2259,244.2259
Total_Assets,873.4,844.4,790.6,675.3
Total_Liabilities,574.4,720.7,607.6,457.4
