AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.0,0.4,0.1,0.6,3.7,0.9,0.2
Cash_from_Operations,-28.5,-31.0,-38.2,-33.9,-28.6,-22.9,-9.3
Diluted_EPS,-0.879,-1.89,-2.963,-5.785,-5.087,-2.781,-3.843
Goodwill_Intangibles,1.0,1.0,5.2,10.0,14.9,0.1,0.5
LT_Debt,0.0,0.0,0.0,0.1,0.2,0.3,0.4
Net_Income,-74.4,-47.7,-41.2,-56.5,-39.8,-18.5,-16.1
Revenue,0.2,0.2,0.0,,,,
Shares_Diluted,84.6013,25.2644,13.9061,9.771,7.8202,6.6412,4.2029
Total_Assets,377.1,33.1,51.1,118.4,83.5,112.9,35.3
Total_Liabilities,27.6,34.8,12.8,19.8,10.7,5.3,4.9
