AAII_YR_DATA,08/31/2021,08/31/2020,08/31/2019,08/31/2018,08/31/2017
Capital_Expenditures,1.4,3.9,5.3,7.1,1.5
Cash_from_Operations,-8.7,25.7,14.8,11.8,-11.9
Diluted_EPS,-0.129,-0.229,-0.138,-0.064,-0.202
Goodwill_Intangibles,337.8,354.1,371.2,365.1,
LT_Debt,0.0,0.0,4.0,0.0,0.0
Net_Income,-16.9,-29.9,-16.9,-7.8,-24.8
Revenue,260.4,211.7,171.3,159.7,156.7
Shares_Diluted,131.1148,130.7025,122.7588,122.7588,122.7588
Total_Assets,844.1,861.1,467.3,449.2,
Total_Liabilities,113.4,127.3,78.2,47.4,
