AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,1470.9,1816.8,1061.7,785.2,629.9,763.3,548.0,268.6,553.8
Cash_from_Operations,836.2,212.7,682.4,825.6,716.3,441.1,388.9,344.4,246.8
Diluted_EPS,-0.44,0.549,1.868,1.411,0.518,0.495,0.594,0.549,0.392
Goodwill_Intangibles,1914.3,1764.5,1787.4,1457.8,1363.2,1427.0,502.0,247.9,256.6
LT_Debt,9574.8,7908.3,5941.2,5006.8,4489.4,4142.8,5780.3,1966.7,1639.7
Net_Income,-298.1,345.6,1045.5,705.6,239.0,191.1,162.8,140.8,84.8
Revenue,3734.9,3087.0,2265.2,2194.8,2226.6,2055.7,1480.4,1351.8,1206.0
Shares_Diluted,677.8622,628.9479,559.6333,499.9109,461.818,385.9861,274.077,256.5167,216.3416
Total_Assets,23809.6,22672.6,17861.5,14738.1,12681.7,11339.9,11142.5,6565.1,5254.9
Total_Liabilities,16759.4,14758.9,10833.1,9504.1,8389.7,7669.4,8544.4,4020.1,3308.7
