Ticker,Linear Chart Years,Future Calendar Quarters,Log Chart Years,Price Scale - High,Earnings Scale - Low,Earnings Scale - High,Lower Price Channel,Upper Price Channel,Price Scale - Low
AAPL,6,4,,,,,,,
APPF,10,8,,150,-0.3,0.5,0.1,0.1,-20
MTSI,,6,,,,,,,
MU,10,8,,70,-1,4,0.3,0.3,5
UVE,10,8,,150,-0.3,0.5,0.1,0.1,-20
