AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,09/30/2020,06/30/2020
Insider_Ownership,,0.0,1.3,1.3,1.3,1.3,0.0
Institutional_Ownership,7.3,7.7,12.3,11.0,7.1,3.0,2.2
Net_Insider_Purchases,0.0,0.0,25.0,25.0,153.0,153.0,0.0
No_of_Employees,13.0,13.0,94.0,94.0,94.0,94.0,94.0
No_of_Institutions,21.0,21.0,20.0,17.0,15.0,18.0,19.0
