AAII_KEY_STATISTICS_DATA,04/01/2023,07/02/2022,04/02/2022,10/02/2021,07/03/2021,04/03/2021,01/02/2021,09/26/2020,06/27/2020
Insider_Ownership,0.4,0.3,0.8,0.2,0.3,0.6,0.6,0.2,0.1
Institutional_Ownership,87.0,92.8,93.9,90.5,89.4,89.6,93.4,97.1,98.4
Net_Insider_Purchases,134.0,34.0,1290.0,-24.0,-96.0,139.0,209.0,74.0,109.0
No_of_Employees,51000.0,59000.0,59000.0,61000.0,61000.0,61000.0,61000.0,63000.0,63000.0
No_of_Institutions,686.0,712.0,727.0,771.0,751.0,773.0,779.0,763.0,761.0
