AAII_KEY_STATISTICS_DATA,12/31/2022,06/30/2022,03/31/2022
Insider_Ownership,,,40.0
Institutional_Ownership,78.8,78.3,73.1
Net_Insider_Purchases,0.0,0.0,-750.0
No_of_Employees,,,
No_of_Institutions,45.0,45.0,40.0
