AAII_KEY_STATISTICS_DATA,12/31/2022,06/30/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,5.5,4.3,5.4,5.1,4.8,4.7,4.7,3.3
Institutional_Ownership,69.9,71.0,71.3,80.4,81.8,85.7,84.1,85.0
Net_Insider_Purchases,76.0,81.0,48.0,66.0,23.0,25.0,23.0,833.0
No_of_Employees,355.0,360.0,360.0,390.0,390.0,390.0,412.0,412.0
No_of_Institutions,39.0,41.0,42.0,40.0,42.0,48.0,53.0,86.0
