AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021
Insider_Ownership,0.1,0.0,0.0,0.1
Institutional_Ownership,39.8,30.3,20.8,0.0
Net_Insider_Purchases,85.0,2.0,2.0,42.0
No_of_Employees,0.0,,,
No_of_Institutions,147.0,107.0,82.0,0.0
