AAII_KEY_STATISTICS_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,1.4,1.4,1.3,
Institutional_Ownership,93.5,,99.6,97.8
Net_Insider_Purchases,23.0,23.0,68.0,0.0
No_of_Employees,4600.0,4600.0,4400.0,4400.0
No_of_Institutions,224.0,223.0,226.0,220.0
