AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Insider_Ownership,2.0,1.9,1.9,0.5,2.2,2.2,2.1,0.5,0.5,2.5
Institutional_Ownership,7.7,7.7,7.7,6.6,7.0,8.2,7.0,7.1,10.9,10.9
Net_Insider_Purchases,10.0,13.0,15.0,1.0,12.0,13.0,13.0,8.0,7.0,11.0
No_of_Employees,143.0,152.0,152.0,151.0,151.0,151.0,151.0,173.0,173.0,173.0
No_of_Institutions,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
