AAII_KEY_STATISTICS_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,3.3,3.3,3.3,3.3
Institutional_Ownership,79.7,79.7,79.7,79.7
Net_Insider_Purchases,0.0,0.0,0.0,0.0
No_of_Employees,22000.0,22000.0,22000.0,22000.0
No_of_Institutions,119.0,119.0,119.0,119.0
