AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.5,0.5,0.0,0.7,0.7,0.0,0.0,0.3,0.3
Institutional_Ownership,14.6,15.6,15.9,18.7,25.5,41.4,41.9,59.2,60.2
Net_Insider_Purchases,48.0,31.0,3.0,684.0,687.0,3.0,0.0,5.0,5.0
No_of_Employees,156.0,155.0,155.0,29.0,29.0,29.0,29.0,29.0,29.0
No_of_Institutions,49.0,51.0,54.0,62.0,87.0,114.0,114.0,144.0,149.0
