AAII_KEY_STATISTICS_DATA,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,0.0,0.5,0.5,1.0
Institutional_Ownership,28.9,37.2,36.8,37.7
Net_Insider_Purchases,0.0,2.0,2.0,7.0
No_of_Employees,91.0,91.0,91.0,87.0
No_of_Institutions,38.0,66.0,66.0,69.0
