AAII_KEY_STATISTICS_DATA,06/30/2021,12/31/2020,06/30/2020
Insider_Ownership,,,
Institutional_Ownership,0.0,1.4,2.0
Net_Insider_Purchases,,,
No_of_Employees,171.0,171.0,180.0
No_of_Institutions,1.0,1.0,4.0
