AAII_KEY_STATISTICS_DATA,12/31/2022,03/31/2022,12/31/2021,06/30/2021,03/31/2021,09/30/2020
Insider_Ownership,10.5,11.2,0.3,0.4,0.0,0.1
Institutional_Ownership,33.3,32.3,37.2,40.0,39.9,40.4
Net_Insider_Purchases,73.0,67.0,9.0,14.0,0.0,3.0
No_of_Employees,91.0,64.0,64.0,48.0,48.0,24.0
No_of_Institutions,26.0,23.0,28.0,30.0,41.0,53.0
