AAII_KEY_STATISTICS_DATA,09/30/2022,06/30/2022,09/30/2021
Insider_Ownership,,,
Institutional_Ownership,15.3,19.1,19.2
Net_Insider_Purchases,0.0,0.0,0.0
No_of_Employees,3623.0,2492.0,30.0
No_of_Institutions,13.0,23.0,25.0
