AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,06/30/2021
Insider_Ownership,,,,1.6
Institutional_Ownership,70.1,68.1,71.7,67.4
Net_Insider_Purchases,0.0,0.0,0.0,5599.0
No_of_Employees,74.0,83.0,83.0,
No_of_Institutions,34.0,31.0,34.0,32.0
