AAII_KEY_STATISTICS_DATA,03/31/2022,09/30/2021,03/31/2021,09/30/2020,03/31/2020
Insider_Ownership,,,,,
Institutional_Ownership,6.5,6.7,1.3,1.4,9.1
Net_Insider_Purchases,,,,,
No_of_Employees,88.0,96.0,96.0,97.0,97.0
No_of_Institutions,5.0,14.0,8.0,6.0,10.0
